User ID,Round-Trip Time [ms],IP Address,ASN,User Agent String,Device Type,Login Successful,year,month,day,hour,minute,Is Failed Login,Is Attack,Day Slot,Browser Family,OS Family,Is Bot
-4324475583306591935,506.0,80.232.46.22,25400,"Mozilla/5.0  (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/145247",mobile,0,2021,2,20,9,58,1,0,day,Mobile Safari,iOS,False
4141948673144054545,1128.0,84.208.181.38,41164,"Mozilla/5.0  (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/530.17 (KHTML, like Gecko Version/4.0 Mobile Safari/530.17",mobile,1,2020,3,17,20,5,0,0,day,Mobile Safari,iOS,False
-8152822881938774781,551.0,84.209.190.114,41164,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20100101 Firefox/20.0.0.1604 variation/246889,mobile,1,2020,6,28,11,59,0,0,day,Mobile Safari UI/WKWebView,iOS,False
1412256765887180107,506.0,79.161.83.66,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1927.111 Mobile Safari/537.36 OPT/2.3",mobile,0,2020,11,3,23,54,1,0,late night,Chrome,iOS,False
2843739543340219881,43.0,10.0.160.76,500136,"Mozilla/5.0  (Linux; Android 6.9; SM-J500H/DS Build/KOT49H) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/125929",mobile,1,2020,8,4,9,54,0,0,day,Android,Android,False
-4324475583306591935,808.0,10.1.28.255,34989,"Mozilla/5.0  (Linux; Android 10.0.99) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.22.100 Safari/537.36",tablet,0,2020,9,20,17,4,1,0,day,Chrome,Android,False
-7051853360262799578,28.0,84.209.249.136,41164,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.111 Mobile Safari/537.36 PHX/5.0 variation/215188",mobile,1,2020,6,10,8,30,0,0,day,Chrome,iOS,False
-6794176884093000529,481.0,84.209.59.182,41164,"Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457",mobile,1,2020,2,5,11,58,0,0,day,Mobile Safari,iOS,False
9188100998542999082,633.0,46.212.98.60,41164,"Mozilla/5.0  (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/202301",mobile,1,2021,1,26,14,15,0,0,day,Mobile Safari,iOS,False
-8621272400125878724,1223.0,31.10.5.8,207728,"Mozilla/5.0  (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277071",mobile,1,2020,9,29,19,34,0,0,day,Mobile Safari,iOS,False
1572990383432518449,552.0,79.161.80.214,29695,"Mozilla/5.0  (Linux; Android 5.0; SAMSUNG SM-G900F) AppleWebKit/530.17 (KHTML, like Gecko Version/4.0 Mobile Safari/530.17 variation/69107",mobile,1,2020,9,21,19,5,0,0,day,Android,Android,False
8973021737293585765,496.0,51.175.177.237,29695,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",mobile,1,2020,3,29,15,36,0,0,day,Opera Mobile,Android,False
-8476130901975641693,660.0,37.191.209.45,57963,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1929.26 Mobile Safari/537.36",mobile,0,2020,8,24,14,43,1,0,day,Chrome,iOS,False
8892663261895534381,639.0,10.0.59.208,29695,"Mozilla/5.0  (Linux; Android 6.9; SM-J500H/DS Build/KOT49H) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/286326",tablet,1,2020,6,20,10,5,0,0,day,Android,Android,False
-8124285214098466156,506.0,158.248.71.181,29695,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",mobile,1,2020,3,11,13,1,0,0,day,Opera Mobile,Android,False
1901546373579886298,483.0,10.0.71.154,29695,Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) Gecko/20100101 Firefox/20.0.0.1618,mobile,1,2020,3,2,6,4,0,0,early morning,Mobile Safari UI/WKWebView,iOS,False
-1569845443377642548,40.0,10.3.56.165,139294,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1618 variation/193599,mobile,1,2020,2,14,18,39,0,0,day,Mobile Safari UI/WKWebView,iOS,False
-1067316867118333625,466.0,80.203.229.207,15659,"Mozilla/5.0  (Linux; Android 6.9; SM-J500H/DS Build/KOT49H) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/125929",mobile,1,2020,7,5,16,48,0,0,day,Android,Android,False
-7287918163696875906,531.0,84.208.76.0,41164,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1933.117 Mobile Safari/537.36 PHX/6.4",mobile,1,2021,2,24,14,55,0,0,day,Chrome,iOS,False
2826293066932915569,537.0,10.0.66.209,29695,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.142 Mobile Safari/537.36",mobile,1,2020,7,7,21,17,0,0,day,Chrome,Android,False
-3543839917420044209,640.0,84.208.9.133,41164,"Mozilla/5.0  (Linux; Android 6.9; SM-J500H/DS Build/KOT49H) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/125929",mobile,1,2020,8,27,17,34,0,0,day,Android,Android,False
-3516323582152843525,422.0,80.203.198.31,15659,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1943.138 Mobile Safari/537.36",mobile,1,2020,12,14,21,26,0,0,day,Chrome,iOS,False
1453606950259209968,903.0,10.0.55.196,29695,"Mozilla/5.0 (Linux; U; Android 2.3.3; nb-no; Desire_A8181 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",mobile,1,2020,11,30,10,29,0,0,day,Android,Android,False
-1035732391440810597,592.0,10.0.75.200,29695,"Mozilla/5.0  (iPad; CPU OS 12_1_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3683.0 Mobile Safari/537.36 EdgA/44.11.2.4122",tablet,1,2020,4,19,16,43,0,0,day,Edge Mobile,iOS,False
8520152472845022741,501.0,91.90.41.248,50304,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20081407 Firefox/20.0 variation/292227,tablet,1,2020,11,14,12,17,0,0,day,Mobile Safari UI/WKWebView,iOS,False
-4324475583306591935,497.0,10.0.160.76,500136,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1947.117 Mobile Safari/537.36 PHX/6.4",mobile,0,2021,1,25,18,59,1,0,day,Chrome,iOS,False
-6557230946481828963,26.0,81.166.72.124,29695,"Mozilla/5.0  (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277071",mobile,1,2020,8,20,16,21,0,0,day,Mobile Safari,iOS,False
-2975166396818439151,459.0,51.175.154.205,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/523.10 (KHTML, like Gecko Version/4.0 Mobile Safari/523.10 variation/290187",tablet,1,2021,2,4,18,29,0,0,day,Mobile Safari,iOS,False
4568366507785702413,565.0,10.0.160.76,500136,"Mozilla/5.0  (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277071",mobile,1,2020,8,19,18,12,0,0,day,Mobile Safari,iOS,False
6124275838655913245,637.0,84.208.166.117,41164,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",mobile,1,2020,3,29,12,27,0,0,day,Opera Mobile,Android,False
6408814905092355594,1166.0,122.50.0.133,9387,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.138 Mobile Safari/537.36 PHX/5.2",mobile,0,2020,5,16,15,33,1,0,day,Chrome,iOS,False
5500939040393715413,689.0,80.203.227.196,15659,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.117 Mobile Safari/537.36 PHX/6.6",mobile,1,2020,2,24,15,32,0,0,day,Chrome Mobile,iOS,False
689382414860865829,433.0,84.209.69.179,41164,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20100101 Firefox/20.0.0.1602,mobile,1,2020,12,10,10,55,0,0,day,Mobile Safari UI/WKWebView,iOS,False
